umap_1	umap_2	cell_type	cell_type_broad	tissue	subtype
-3.73513126373291	-4.794602870941162	CD8+ Texh	T cells	lung	SCLC-A
-12.850096702575684	0.9772065281867981	B cell	B cell	LN	SCLC-A
-6.735005855560303	-6.583497047424316	CD8+ Tmem	T cells	lung	SCLC-A
7.138391494750977	-2.598341941833496	NK	NK	lung	SCLC-A
8.29806137084961	-2.7412002086639404	Tgd	T cells	pleural_effusion	SCLC-A
2.3672993183135986	1.445035696029663	CD8+ Tmem	T cells	pleural_effusion	SCLC-A
2.4689724445343018	1.0419590473175049	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
1.24296236038208	-5.776479721069336	CD8+ Tmem	T cells	liver	SCLC-A
-5.407268047332764	-6.052753448486328	CD8+ Tmem	T cells	lung	SCLC-A
-11.158326148986816	1.4164098501205444	B cell	B cell	lung	SCLC-A
-7.563091278076172	-6.159329891204834	CD8+ Tmem	T cells	lung	SCLC-A
5.276729583740234	10.674768447875977	Neutrophil	Myeloid	LN	SCLC-A
8.282106399536133	-2.841871500015259	Tgd	T cells	pleural_effusion	SCLC-A
3.049560785293579	-1.3167959451675415	CD8+ Tmem	T cells	LN	SCLC-A
2.906317710876465	0.10305829346179962	CD8+ Tmem	T cells	pleural_effusion	SCLC-A
-1.4256844520568848	-3.076050281524658	CD4+ Treg	T cells	liver	SCLC-N
-11.188888549804688	1.3734923601150513	B cell	B cell	lung	SCLC-A
-6.467016696929932	-5.526741981506348	CD4+ Treg	T cells	lung	SCLC-A
2.7240540981292725	1.0446276664733887	CD8+ Tmem	T cells	pleural_effusion	SCLC-A
8.453775405883789	-2.3196487426757812	NK	NK	pleural_effusion	SCLC-A
-1.8617000579833984	8.838594436645508	Mono/Mφ	Myeloid	liver	SCLC-N
-3.043658494949341	11.067391395568848	Mono/Mφ	Myeloid	lung	SCLC-A
-1.5817714929580688	8.920661926269531	Mono/Mφ	Myeloid	liver	SCLC-N
9.681743621826172	-2.972437620162964	Tgd	T cells	pleural_effusion	SCLC-A
4.0049357414245605	-5.496481895446777	CD8+ Teff	T cells	LN	SCLC-A
4.022527694702148	-5.48429012298584	CD8+ Teff	T cells	LN	SCLC-A
-11.85910415649414	1.6572011709213257	B cell	B cell	axilla	SCLC-N
-12.91574478149414	1.0764074325561523	B cell	B cell	LN	SCLC-A
1.1257904767990112	0.4642540216445923	CD8+ Tmem	T cells	axilla	SCLC-N
7.230167388916016	-2.572080135345459	NK	NK	lung	SCLC-A
2.797489881515503	-1.1139979362487793	CD8+ Tmem	T cells	lung	SCLC-A
2.2865962982177734	-1.0430171489715576	CD8+ Tmem	T cells	lung	SCLC-A
3.002816915512085	1.2488377094268799	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
3.5550293922424316	-2.546562671661377	CD8+ Texh	T cells	lung	SCLC-A
2.851396322250366	1.3730709552764893	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
9.526220321655273	-2.620634078979492	Tgd	T cells	pleural_effusion	SCLC-A
-11.363594055175781	1.3056542873382568	B cell	B cell	lung	SCLC-A
8.799949645996094	-3.0198285579681396	CD8+ Tmem	T cells	pleural_effusion	SCLC-A
3.3706984519958496	-1.8210419416427612	CD8+ Tmem	T cells	lung	SCLC-A
8.339581489562988	-2.22330641746521	NK	NK	lung	SCLC-A
8.231404304504395	-2.5923054218292236	Tgd	T cells	pleural_effusion	SCLC-A
-0.4456450641155243	-2.164069175720215	CD4+ Tconv	T cells	adrenal_kidney	SCLC-A
7.18987512588501	-2.9457521438598633	NK	NK	LN	SCLC-A
-0.4864009916782379	9.69287109375	Mono/Mφ	Myeloid	adrenal_kidney	SCLC-A
-3.0156264305114746	-4.843585968017578	CD8+ Texh	T cells	lung	SCLC-A
-6.345043182373047	-6.514776706695557	CD4+ Tconv	T cells	lung	SCLC-A
-1.7680777311325073	-1.4642330408096313	CD4+ Treg	T cells	lung	SCLC-A
5.3413896560668945	10.931503295898438	Neutrophil	Myeloid	LN	SCLC-A
-1.0695127248764038	-3.48333740234375	CD4+ Tconv	T cells	liver	SCLC-N
1.3080915212631226	-0.7255460619926453	CD4+ Tconv	T cells	lung	SCLC-A
9.574568748474121	-2.6890039443969727	Tgd	T cells	pleural_effusion	SCLC-A
-7.906655311584473	-6.132853984832764	CD8+ Tmem	T cells	lung	SCLC-A
-7.201889991760254	-6.641988277435303	CD8+ Tmem	T cells	lung	SCLC-A
0.5104504823684692	1.471677541732788	CD4+ Tconv	T cells	pleural_effusion	SCLC-A
8.434060096740723	-3.065019130706787	Tgd	T cells	pleural_effusion	SCLC-A
-7.317768573760986	-6.875575065612793	NK	NK	lung	SCLC-A
-1.282521367073059	-3.2003047466278076	CD4+ Tconv	T cells	liver	SCLC-N
7.810203552246094	-1.8383644819259644	NK	NK	lung	SCLC-A
