cell_type	gene	counts	avg	Freq	perc_expr
Tgd	CD80	733	-3.321928024291992	733	1
CD8+ Tmem	CD80	1547	-3.2834200948457526	1547	1
cDC	CD80	31	-2.674840054204387	31	1
Mono/Mφ	CD80	396	-3.1653999561312225	396	1
CD4+ Tconv	CD80	1876	-3.2596224532452727	1876	1
NK	CD80	247	-3.321928024291992	247	1
Neutrophil	CD80	403	-3.321928024291992	403	1
CD8+ Teff	CD80	120	-3.321928024291992	120	1
B cell	CD80	353	-3.2178204812679345	353	1
pDC	CD80	78	-3.321928024291992	78	1
CD4+ Treg	CD80	275	-3.252790051156824	275	1
CD8+ Texh	CD80	50	-3.321928024291992	50	1
Mast	CD80	20	-3.321928024291992	20	1
Plasma cell	CD80	9	-3.321928024291992	9	1
Tgd	CTLA4	733	-3.321928024291992	733	1
CD8+ Tmem	CTLA4	1547	-2.0153063114566345	1547	1
cDC	CTLA4	31	-2.926492791022024	31	1
Mono/Mφ	CTLA4	396	-3.2609082020894444	396	1
CD4+ Tconv	CTLA4	1876	-2.4334041251302527	1876	1
NK	CTLA4	247	-3.1130844065052297	247	1
Neutrophil	CTLA4	403	-3.321928024291992	403	1
CD8+ Teff	CTLA4	120	-2.9805061082045237	120	1
B cell	CTLA4	353	-3.321928024291992	353	1
pDC	CTLA4	78	-3.321928024291992	78	1
CD4+ Treg	CTLA4	275	1.029188642501831	275	1
CD8+ Texh	CTLA4	50	-0.23148574590682983	50	1
Mast	CTLA4	20	-3.321928024291992	20	1
Plasma cell	CTLA4	9	-3.321928024291992	9	1
Tgd	CX3CL1	733	-3.321928024291992	733	1
CD8+ Tmem	CX3CL1	1547	-3.321928024291992	1547	1
cDC	CX3CL1	31	-3.321928024291992	31	1
Mono/Mφ	CX3CL1	396	-3.321928024291992	396	1
CD4+ Tconv	CX3CL1	1876	-3.321928024291992	1876	1
NK	CX3CL1	247	-3.321928024291992	247	1
Neutrophil	CX3CL1	403	-3.321928024291992	403	1
CD8+ Teff	CX3CL1	120	-3.321928024291992	120	1
B cell	CX3CL1	353	-3.321928024291992	353	1
pDC	CX3CL1	78	-3.321928024291992	78	1
CD4+ Treg	CX3CL1	275	-3.321928024291992	275	1
CD8+ Texh	CX3CL1	50	-3.321928024291992	50	1
Mast	CX3CL1	20	-3.321928024291992	20	1
Plasma cell	CX3CL1	9	-3.321928024291992	9	1
Tgd	CXCL10	733	-3.321928024291992	733	1
CD8+ Tmem	CXCL10	1547	-3.3005111296868894	1547	1
cDC	CXCL10	31	-2.648280882066296	31	1
Mono/Mφ	CXCL10	396	-2.665800711873806	396	1
CD4+ Tconv	CXCL10	1876	-3.311077931796564	1876	1
NK	CXCL10	247	-3.2735679400594613	247	1
