cell_type	gene	counts	avg	Freq	perc_expr
Plasma cell	VEGFA	9	-2.878434658050537	9	1
Tgd	VEGFB	733	-3.169263812399496	733	1
CD8+ Tmem	VEGFB	1547	-2.775385621118792	1547	1
cDC	VEGFB	31	-2.5075522709277367	31	1
Mono/Mφ	VEGFB	396	-2.541532204458208	396	1
CD4+ Tconv	VEGFB	1876	-2.963342058823815	1876	1
NK	VEGFB	247	-2.969537464713278	247	1
Neutrophil	VEGFB	403	-3.2671348054710747	403	1
CD8+ Teff	VEGFB	120	-2.8959310819705326	120	1
B cell	VEGFB	353	-2.710791391623932	353	1
pDC	VEGFB	78	-0.7602867835607284	78	1
CD4+ Treg	VEGFB	275	-2.9609144713661886	275	1
CD8+ Texh	VEGFB	50	-2.0314243483543395	50	1
Mast	VEGFB	20	-3.001189923286438	20	1
Plasma cell	VEGFB	9	-2.9172474443912506	9	1
